,filename,peak_0,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7,peak_8
0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,12.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
3,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
7,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
8,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
9,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
10,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
11,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12,22.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
13,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
14,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15,25.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
16,26.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
17,27.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
18,28.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
19,29.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,30.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
21,31.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
22,32.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
23,33.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
24,34.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
25,35.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,36.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
27,37.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28,38.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,39.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
30,40.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
31,41.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32,42.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33,43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,48.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
39,49.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
40,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
41,51.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
42,52.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
43,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,55.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
46,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,57.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
48,58.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
49,59.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
50,60.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
51,61.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
52,62.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
53,63.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
54,64.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
55,65.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
56,66.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
57,67.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
58,68.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
59,69.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
60,70.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
61,71.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
62,72.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
63,73.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
64,74.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
