,test_epoch,test_loss,train_epoch,train_loss
0,1,1.0376412143577507e-06,1,7.885372976464171e-05
1,2,1.0140529899590048e-06,2,1.1184600084492619e-05
2,3,1.0145588824890232e-06,3,1.0904949583365625e-05
3,4,1.0195728400118728e-06,4,1.09123916811929e-05
4,5,1.0222464700593642e-06,5,1.0978549277327976e-05
5,6,1.0116153292701603e-06,6,1.1046778321864943e-05
6,7,1.0141429196115587e-06,7,1.0861740811656793e-05
7,8,1.0224036135414425e-06,8,9.830144947196944e-06
8,9,1.0155495256953408e-06,9,9.433971309616252e-06
9,10,1.0369862245253137e-06,10,8.922512745836924e-06
10,11,1.0172757852078855e-06,11,8.686098173898288e-06
11,12,1.0299441826498643e-06,12,7.840497371935041e-06
12,13,1.0192192504639336e-06,13,7.203697261738594e-06
13,14,1.0186009307880812e-06,14,6.8693083632036525e-06
14,15,1.0918186794805118e-06,15,6.260328089479377e-06
15,16,1.0236573162500007e-06,16,5.808821572046834e-06
16,17,1.0250807547170697e-06,17,5.541878674913757e-06
17,18,1.0383183164578849e-06,18,5.2769775269897085e-06
18,19,1.0259822774923834e-06,19,4.873031647311167e-06
19,20,1.02309457623656e-06,20,5.036925968600111e-06
20,21,1.0187056615656355e-06,21,4.553133068677196e-06
21,22,1.0159160901769708e-06,22,4.574417551386417e-06
22,23,1.0186057935358432e-06,23,4.202151166479169e-06
23,24,1.0289815896521066e-06,24,4.655368357195567e-06
24,25,1.016267926015009e-06,25,4.069951789984782e-06
25,26,1.0190922161032688e-06,26,3.846441641312268e-06
26,27,1.0148188623734314e-06,27,4.195766177206756e-06
27,28,1.0200951713732075e-06,28,3.7792623256371e-06
28,29,1.0140565321823484e-06,29,3.5976344101232066e-06
29,30,1.015680274471998e-06,30,3.5977490753629033e-06
30,31,1.0228091594879027e-06,31,3.4385459612504443e-06
31,32,1.009516218066756e-06,32,3.429289985377241e-06
32,33,1.0194978809755813e-06,33,3.3637388555752663e-06
33,34,1.021546355843639e-06,34,3.5624051243586464e-06
34,35,1.0214210165689968e-06,35,3.138635113475809e-06
35,36,1.0131888406599459e-06,36,3.3690508323189926e-06
36,37,1.0189468241606177e-06,37,3.2070697322210935e-06
37,38,1.0209471220925185e-06,38,3.166898528947805e-06
38,39,1.0156069010344975e-06,39,3.0795201400152357e-06
39,40,1.0436049582562728e-06,40,3.539607580325947e-06
40,41,1.0255350593485672e-06,41,3.370264051033373e-06
41,42,1.0148187014023296e-06,42,3.443079444653897e-06
42,43,1.0189197325020164e-06,43,2.882353349778451e-06
43,44,1.0212004390318106e-06,44,2.916253995525761e-06
44,45,1.0175844591704748e-06,45,2.8947159348951664e-06
45,46,1.014888242859095e-06,46,2.9027228221857058e-06
46,47,1.018765001770833e-06,47,2.8977967379811775e-06
47,48,1.0123233438826165e-06,48,2.810220144594082e-06
48,49,1.0135064483252676e-06,49,2.893828553582661e-06
49,50,1.0207457243635756e-06,50,2.6924094590114218e-06
50,51,1.0189869696689067e-06,51,2.8332524817793448e-06
51,52,1.0166726748060036e-06,52,2.758327801417115e-06
