,test_epoch,test_loss,train_epoch,train_loss
0,1,0,1,0.0014657419751004474
1,2,0,2,0.0012735106186727999
2,3,0,3,0.0012088921947617385
3,4,0,4,0.0011710519442746327
4,5,0,5,0.0011272071449142428
5,6,0,6,0.001105807332508515
6,7,0,7,0.0010895497320092093
7,8,0,8,0.0010700788811331447
8,9,0,9,0.0010605837600859826
9,10,0,10,0.0010473282907241751
10,11,0,11,0.001035417124088348
11,12,0,12,0.0010243857166490772
12,13,0,13,0.0010198206947378524
13,14,0,14,0.0010134340034967635
14,15,0,15,0.0010115737366800965
15,16,0,16,0.0010035894748874486
16,17,0,17,0.0009981656701028335
17,18,0,18,0.0009887013311964024
18,19,0,19,0.0009737819320829858
19,20,0,20,0.0009507862913023318
20,21,0,21,0.0009316416184955499
21,22,0,22,0.0009112956568262715
22,23,0,23,0.0008857895811956558
23,24,0,24,0.0008708567113183239
24,25,0,25,0.0008564565139449815
25,26,0,26,0.0008451823628746915
26,27,0,27,0.0008261125764182298
27,28,0,28,0.0008163303254069582
28,29,0,29,0.0008207286495166953
29,30,0,30,0.0008047147887002604
30,31,0,31,0.0008033970615541946
31,32,0,32,0.0007939187811030909
32,33,0,33,0.0007866991284615288
33,34,0,34,0.0007772489213181305
34,35,0,35,0.0007769037761444782
35,36,0,36,0.0007704776638364666
36,37,0,37,0.0007623304191231604
37,38,0,38,0.000756795283221492
38,39,0,39,0.0007624293884358532
39,40,0,40,0.0007462774331782952
40,41,0,41,0.000749562522261136
41,42,0,42,0.0007431339700869266
42,43,0,43,0.0007345178768536209
43,44,0,44,0.0007370123341768649
44,45,0,45,0.0007382135270377901
45,46,0,46,0.0007342117655873786
46,47,0,47,0.0007316014864954647
47,48,0,48,0.0007215682961980635
48,49,0,49,0.0007261883605676341
49,50,0,50,0.0007277187536992593
50,51,0,51,0.0007271357062944514
51,52,0,52,0.000724253781508441
52,53,0,53,0.0007187282594672974
53,54,0,54,0.0007179641921635927
54,55,0,55,0.0007129577692259974
55,56,0,56,0.000710207641565748
56,57,0,57,0.0007080417856267952
57,58,0,58,0.0007017551894363377
58,59,0,59,0.0007045691873910179
59,60,0,60,0.000702208123944823
